ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
190800,Gujarat,Surat,Locality_125,Villa,4.0,1816.0,55.05,0.03,1992.0,Furnished,29.0,27.0,33.0,3.0,3.0,Medium,Yes,No,"Garden, Clubhouse, Playground",North,Broker,Under_Construction
225395,Delhi,Dwarka,Locality_348,Villa,1.0,3918.0,188.91,0.05,2000.0,Unfurnished,13.0,18.0,25.0,8.0,10.0,High,No,Yes,"Playground, Garden",East,Builder,Ready_to_Move
227571,Uttarakhand,Haridwar,Locality_136,Apartment,2.0,3462.0,283.21,0.08,2007.0,Semi-furnished,3.0,20.0,18.0,5.0,7.0,Medium,Yes,Yes,"Garden, Playground, Clubhouse, Gym",North,Broker,Under_Construction
154998,Chhattisgarh,Raipur,Locality_265,Independent House,1.0,4942.0,53.99,0.01,1999.0,Unfurnished,26.0,7.0,26.0,7.0,10.0,Medium,No,Yes,"Garden, Gym, Pool, Clubhouse",West,Broker,Under_Construction
227376,Tamil Nadu,Chennai,Locality_391,Villa,2.0,1082.0,30.52,0.03,2015.0,Furnished,0.0,10.0,10.0,4.0,9.0,High,No,Yes,"Gym, Playground",East,Owner,Under_Construction
115789,West Bengal,Kolkata,Locality_114,Apartment,3.0,515.0,273.35,0.53,2018.0,Semi-furnished,3.0,7.0,7.0,5.0,7.0,High,No,No,"Pool, Garden, Clubhouse, Gym, Playground",North,Broker,Under_Construction
107683,Uttarakhand,Haridwar,Locality_192,Apartment,5.0,1795.0,461.31,0.26,2016.0,Furnished,29.0,21.0,9.0,5.0,1.0,Low,No,Yes,Clubhouse,North,Builder,Under_Construction
1765,Madhya Pradesh,Bhopal,Locality_110,Villa,1.0,1096.0,411.44,0.38,2002.0,Unfurnished,12.0,2.0,23.0,4.0,7.0,Medium,No,Yes,"Clubhouse, Pool, Playground, Gym",North,Owner,Under_Construction
69854,Madhya Pradesh,Indore,Locality_59,Villa,1.0,3613.0,60.13,0.02,2002.0,Furnished,4.0,1.0,23.0,1.0,2.0,Low,No,No,Garden,North,Owner,Ready_to_Move
17633,Delhi,Dwarka,Locality_306,Independent House,3.0,4009.0,102.76,0.03,1998.0,Semi-furnished,23.0,18.0,27.0,4.0,10.0,Low,No,Yes,"Playground, Clubhouse, Garden, Pool",East,Owner,Ready_to_Move
212228,West Bengal,Kolkata,Locality_422,Villa,4.0,541.0,256.13,0.47,2016.0,Semi-furnished,8.0,5.0,9.0,6.0,5.0,Medium,Yes,No,Clubhouse,East,Broker,Ready_to_Move
183040,Punjab,Amritsar,Locality_388,Apartment,2.0,4315.0,140.95,0.03,1991.0,Semi-furnished,11.0,30.0,34.0,6.0,2.0,Medium,Yes,No,"Garden, Gym, Playground, Clubhouse",East,Builder,Ready_to_Move
161676,Jharkhand,Jamshedpur,Locality_95,Independent House,2.0,1086.0,341.75,0.31,2002.0,Furnished,24.0,15.0,23.0,3.0,4.0,Medium,No,Yes,"Garden, Gym, Clubhouse",North,Broker,Under_Construction
94866,Uttarakhand,Dehradun,Locality_216,Independent House,2.0,4268.0,498.14,0.12,1991.0,Semi-furnished,26.0,27.0,34.0,10.0,10.0,High,No,No,"Gym, Playground, Clubhouse",East,Broker,Ready_to_Move
100596,Tamil Nadu,Coimbatore,Locality_422,Villa,3.0,3502.0,397.13,0.11,1998.0,Unfurnished,0.0,14.0,27.0,1.0,2.0,High,Yes,No,"Playground, Gym, Clubhouse",East,Builder,Under_Construction
96518,Haryana,Faridabad,Locality_239,Independent House,4.0,3299.0,327.07,0.1,1997.0,Unfurnished,12.0,28.0,28.0,6.0,2.0,High,No,Yes,"Gym, Pool, Garden",West,Broker,Under_Construction
55827,Madhya Pradesh,Indore,Locality_124,Apartment,5.0,992.0,274.75,0.28,2003.0,Furnished,16.0,30.0,22.0,1.0,5.0,Medium,Yes,Yes,"Gym, Clubhouse, Garden, Playground",North,Builder,Ready_to_Move
73730,Jharkhand,Ranchi,Locality_294,Independent House,3.0,1153.0,401.8,0.35,2002.0,Unfurnished,27.0,24.0,23.0,9.0,1.0,Medium,No,Yes,"Garden, Pool",West,Owner,Ready_to_Move
77129,Chhattisgarh,Bilaspur,Locality_378,Villa,1.0,3433.0,437.61,0.13,1992.0,Unfurnished,26.0,3.0,33.0,10.0,6.0,High,No,Yes,"Garden, Pool",East,Owner,Ready_to_Move
9018,Maharashtra,Mumbai,Locality_174,Apartment,2.0,4968.0,276.03,0.06,2005.0,Furnished,11.0,7.0,20.0,10.0,7.0,Medium,Yes,No,Garden,South,Builder,Ready_to_Move
62021,Jharkhand,Ranchi,Locality_306,Villa,4.0,2977.0,266.53,0.09,1996.0,Semi-furnished,19.0,19.0,29.0,1.0,3.0,Low,Yes,No,Garden,East,Builder,Ready_to_Move
211758,Gujarat,Surat,Locality_140,Villa,4.0,3425.0,219.29,0.06,2022.0,Unfurnished,15.0,26.0,3.0,3.0,6.0,High,No,Yes,Pool,North,Builder,Under_Construction
105581,Assam,Guwahati,Locality_396,Independent House,5.0,1769.0,163.3,0.09,1993.0,Semi-furnished,23.0,5.0,32.0,10.0,4.0,High,Yes,No,"Clubhouse, Playground, Garden, Gym",North,Builder,Ready_to_Move
8326,Gujarat,Surat,Locality_45,Apartment,1.0,1743.0,79.04,0.05,1992.0,Unfurnished,26.0,8.0,33.0,8.0,7.0,Medium,Yes,No,"Pool, Garden, Clubhouse, Gym, Playground",North,Builder,Under_Construction
60747,Madhya Pradesh,Indore,Locality_25,Apartment,5.0,4132.0,211.0,0.05,1994.0,Unfurnished,21.0,26.0,31.0,5.0,8.0,Medium,No,No,"Playground, Gym, Garden",North,Owner,Under_Construction
123469,Chhattisgarh,Raipur,Locality_492,Independent House,5.0,2615.0,87.93,0.03,2001.0,Furnished,16.0,27.0,24.0,5.0,7.0,Low,No,Yes,"Garden, Gym, Clubhouse, Pool, Playground",East,Owner,Ready_to_Move
83368,Uttarakhand,Haridwar,Locality_56,Apartment,3.0,4700.0,483.37,0.1,2023.0,Furnished,2.0,20.0,2.0,4.0,8.0,High,No,Yes,Playground,North,Broker,Ready_to_Move
200090,Madhya Pradesh,Indore,Locality_160,Independent House,3.0,4653.0,117.19,0.03,2016.0,Furnished,27.0,1.0,9.0,10.0,8.0,High,No,Yes,Clubhouse,West,Builder,Under_Construction
123943,Uttar Pradesh,Lucknow,Locality_90,Villa,3.0,3901.0,278.56,0.07,2020.0,Unfurnished,24.0,11.0,5.0,6.0,1.0,High,No,Yes,Garden,South,Owner,Ready_to_Move
171306,Chhattisgarh,Raipur,Locality_397,Apartment,2.0,3534.0,32.13,0.01,1998.0,Semi-furnished,12.0,30.0,27.0,2.0,5.0,Low,No,Yes,Gym,East,Owner,Under_Construction
37164,Gujarat,Ahmedabad,Locality_466,Villa,2.0,2312.0,155.67,0.07,2011.0,Unfurnished,16.0,5.0,14.0,2.0,8.0,High,No,Yes,"Gym, Playground, Pool, Garden",West,Owner,Ready_to_Move
100241,Tamil Nadu,Coimbatore,Locality_269,Independent House,2.0,4971.0,181.1,0.04,2006.0,Semi-furnished,22.0,20.0,19.0,6.0,5.0,Medium,Yes,Yes,"Pool, Garden",South,Builder,Ready_to_Move
44616,Maharashtra,Pune,Locality_155,Apartment,1.0,1350.0,56.6,0.04,2007.0,Unfurnished,17.0,15.0,18.0,9.0,1.0,High,No,No,Gym,South,Builder,Ready_to_Move
78990,Uttar Pradesh,Noida,Locality_206,Independent House,5.0,2804.0,219.25,0.08,2023.0,Furnished,4.0,4.0,2.0,4.0,3.0,Medium,No,No,"Gym, Garden, Pool, Clubhouse",West,Builder,Ready_to_Move
204040,Telangana,Warangal,Locality_381,Apartment,1.0,3621.0,22.11,0.01,1998.0,Semi-furnished,25.0,24.0,27.0,7.0,5.0,Low,No,No,"Pool, Playground",West,Owner,Ready_to_Move
81915,Telangana,Hyderabad,Locality_240,Villa,3.0,4280.0,498.85,0.12,2003.0,Furnished,28.0,21.0,22.0,2.0,8.0,Medium,Yes,No,Pool,East,Owner,Under_Construction
162926,Tamil Nadu,Chennai,Locality_481,Apartment,3.0,4708.0,466.76,0.1,2018.0,Semi-furnished,2.0,2.0,7.0,2.0,3.0,Low,No,Yes,"Gym, Playground, Pool, Clubhouse",West,Owner,Under_Construction
9009,Maharashtra,Nagpur,Locality_237,Villa,3.0,3516.0,399.88,0.11,1993.0,Furnished,14.0,2.0,32.0,4.0,8.0,Medium,No,No,Clubhouse,West,Broker,Under_Construction
181332,Bihar,Patna,Locality_368,Independent House,4.0,4042.0,374.41,0.09,2019.0,Furnished,18.0,9.0,6.0,1.0,4.0,Low,Yes,No,"Garden, Clubhouse, Pool, Gym, Playground",South,Owner,Ready_to_Move
63263,Andhra Pradesh,Vijayawada,Locality_274,Independent House,4.0,3800.0,301.03,0.08,1995.0,Semi-furnished,23.0,5.0,30.0,7.0,3.0,High,No,Yes,"Playground, Garden, Pool, Gym, Clubhouse",East,Broker,Under_Construction
3292,Kerala,Trivandrum,Locality_275,Independent House,1.0,2187.0,12.81,0.01,2000.0,Semi-furnished,3.0,9.0,25.0,1.0,5.0,Low,Yes,No,"Clubhouse, Garden, Pool",North,Builder,Ready_to_Move
241873,Assam,Guwahati,Locality_454,Villa,2.0,4410.0,419.94,0.1,2007.0,Semi-furnished,6.0,14.0,18.0,6.0,2.0,Low,Yes,No,"Clubhouse, Pool, Playground",East,Builder,Under_Construction
166804,Telangana,Hyderabad,Locality_494,Villa,5.0,1489.0,43.19,0.03,2009.0,Semi-furnished,23.0,3.0,16.0,2.0,2.0,Medium,Yes,Yes,"Garden, Clubhouse, Gym, Pool, Playground",North,Broker,Ready_to_Move
28767,Gujarat,Surat,Locality_175,Apartment,3.0,3439.0,25.87,0.01,1995.0,Semi-furnished,9.0,21.0,30.0,3.0,2.0,Medium,Yes,Yes,"Pool, Playground, Gym, Clubhouse",East,Owner,Under_Construction
24721,Jharkhand,Jamshedpur,Locality_432,Villa,4.0,4696.0,405.44,0.09,1994.0,Semi-furnished,13.0,12.0,31.0,9.0,1.0,High,Yes,No,"Garden, Clubhouse, Pool, Playground, Gym",North,Broker,Ready_to_Move
21287,Uttar Pradesh,Noida,Locality_20,Independent House,1.0,707.0,459.78,0.65,2003.0,Unfurnished,30.0,11.0,22.0,3.0,7.0,High,No,Yes,"Clubhouse, Pool, Gym, Playground, Garden",North,Builder,Ready_to_Move
174469,Punjab,Ludhiana,Locality_179,Apartment,3.0,4531.0,388.39,0.09,2019.0,Furnished,28.0,22.0,6.0,6.0,1.0,Low,Yes,Yes,"Clubhouse, Gym",South,Broker,Ready_to_Move
108664,Uttarakhand,Dehradun,Locality_406,Villa,5.0,4825.0,18.55,0.0,2011.0,Semi-furnished,24.0,30.0,14.0,9.0,1.0,Medium,No,Yes,"Clubhouse, Playground",East,Broker,Ready_to_Move
160129,Tamil Nadu,Coimbatore,Locality_126,Villa,5.0,3588.0,76.87,0.02,1994.0,Semi-furnished,16.0,22.0,31.0,2.0,3.0,High,No,No,"Gym, Pool, Garden, Playground, Clubhouse",South,Broker,Ready_to_Move
200060,Karnataka,Mangalore,Locality_401,Villa,5.0,3336.0,263.1,0.08,2010.0,Furnished,28.0,13.0,15.0,3.0,1.0,Low,No,Yes,"Garden, Clubhouse, Gym, Pool, Playground",East,Builder,Ready_to_Move
69702,Bihar,Patna,Locality_362,Apartment,2.0,4738.0,22.1,0.0,2021.0,Furnished,18.0,4.0,4.0,5.0,6.0,Medium,Yes,No,"Gym, Garden, Playground, Pool",South,Broker,Under_Construction
72581,Uttarakhand,Haridwar,Locality_389,Villa,2.0,2908.0,347.74,0.12,1997.0,Semi-furnished,16.0,23.0,28.0,3.0,5.0,Medium,No,No,"Garden, Clubhouse",West,Builder,Ready_to_Move
48126,Telangana,Hyderabad,Locality_265,Independent House,3.0,3925.0,261.78,0.07,2021.0,Unfurnished,2.0,21.0,4.0,7.0,1.0,Low,No,Yes,"Playground, Clubhouse",West,Broker,Under_Construction
168404,Gujarat,Surat,Locality_156,Independent House,5.0,4175.0,272.97,0.07,2002.0,Unfurnished,6.0,13.0,23.0,6.0,1.0,Low,No,Yes,"Gym, Pool, Garden, Playground, Clubhouse",West,Owner,Under_Construction
152160,Maharashtra,Pune,Locality_283,Independent House,3.0,825.0,487.09,0.59,2018.0,Furnished,7.0,29.0,7.0,1.0,7.0,Low,Yes,Yes,"Clubhouse, Pool",West,Broker,Ready_to_Move
224940,Uttar Pradesh,Noida,Locality_254,Independent House,4.0,3526.0,263.04,0.07,2019.0,Unfurnished,11.0,25.0,6.0,2.0,8.0,Medium,Yes,No,"Gym, Garden, Playground",East,Owner,Under_Construction
94087,Tamil Nadu,Chennai,Locality_362,Independent House,1.0,4159.0,479.53,0.12,2006.0,Semi-furnished,12.0,2.0,19.0,5.0,8.0,Low,Yes,Yes,"Gym, Clubhouse",North,Owner,Under_Construction
6227,Punjab,Ludhiana,Locality_411,Independent House,4.0,1450.0,388.41,0.27,2018.0,Furnished,12.0,9.0,7.0,1.0,9.0,Low,No,Yes,"Garden, Clubhouse, Pool, Playground, Gym",West,Builder,Ready_to_Move
231314,Kerala,Kochi,Locality_388,Independent House,5.0,3438.0,226.69,0.07,1990.0,Semi-furnished,23.0,18.0,35.0,9.0,5.0,High,No,Yes,"Gym, Clubhouse, Garden, Pool",North,Owner,Under_Construction
117857,Punjab,Ludhiana,Locality_407,Independent House,2.0,2882.0,427.29,0.15,2003.0,Furnished,0.0,24.0,22.0,7.0,4.0,Medium,No,No,"Garden, Clubhouse, Playground, Gym, Pool",West,Owner,Under_Construction
193394,Maharashtra,Nagpur,Locality_270,Villa,4.0,870.0,284.05,0.33,1991.0,Unfurnished,14.0,4.0,34.0,9.0,1.0,Low,Yes,Yes,"Gym, Clubhouse, Garden, Pool",North,Owner,Under_Construction
230900,Delhi,Dwarka,Locality_391,Independent House,2.0,2012.0,53.02,0.03,1999.0,Unfurnished,17.0,13.0,26.0,7.0,9.0,Medium,No,No,"Gym, Playground",South,Builder,Under_Construction
152307,Jharkhand,Ranchi,Locality_390,Villa,1.0,1318.0,375.31,0.28,2010.0,Semi-furnished,2.0,20.0,15.0,5.0,7.0,High,No,Yes,Pool,North,Broker,Ready_to_Move
43322,Telangana,Hyderabad,Locality_183,Independent House,3.0,1782.0,174.27,0.1,2007.0,Furnished,27.0,3.0,18.0,6.0,3.0,Medium,Yes,No,Garden,West,Broker,Under_Construction
19103,Bihar,Gaya,Locality_367,Apartment,3.0,4475.0,320.45,0.07,2001.0,Furnished,14.0,8.0,24.0,3.0,8.0,Medium,Yes,Yes,"Playground, Pool, Garden, Gym, Clubhouse",East,Owner,Under_Construction
232166,Rajasthan,Jodhpur,Locality_319,Apartment,3.0,1524.0,214.99,0.14,2011.0,Unfurnished,25.0,23.0,14.0,1.0,2.0,Low,No,No,"Gym, Pool",South,Owner,Under_Construction
169044,Madhya Pradesh,Indore,Locality_378,Independent House,4.0,4315.0,18.44,0.0,1991.0,Semi-furnished,26.0,25.0,34.0,5.0,7.0,High,No,No,"Gym, Garden, Clubhouse, Pool, Playground",East,Builder,Under_Construction
210993,Punjab,Ludhiana,Locality_76,Apartment,5.0,3919.0,387.25,0.1,2020.0,Semi-furnished,14.0,17.0,5.0,6.0,2.0,Medium,Yes,No,"Playground, Gym, Garden, Pool, Clubhouse",North,Builder,Ready_to_Move
18839,Bihar,Gaya,Locality_86,Independent House,2.0,2709.0,219.49,0.08,2010.0,Unfurnished,19.0,28.0,15.0,9.0,3.0,Medium,Yes,No,"Playground, Clubhouse",West,Owner,Under_Construction
64027,Maharashtra,Nagpur,Locality_214,Apartment,2.0,4727.0,409.89,0.09,1998.0,Furnished,14.0,19.0,27.0,5.0,2.0,Low,Yes,No,"Gym, Pool, Clubhouse",North,Owner,Under_Construction
147296,Rajasthan,Jodhpur,Locality_177,Apartment,2.0,1541.0,64.38,0.04,2023.0,Furnished,13.0,17.0,2.0,2.0,2.0,High,Yes,No,"Garden, Playground",South,Owner,Ready_to_Move
236449,Delhi,Dwarka,Locality_311,Apartment,2.0,1859.0,167.53,0.09,2006.0,Furnished,27.0,30.0,19.0,7.0,2.0,Low,No,No,"Playground, Gym",North,Owner,Under_Construction
165942,Andhra Pradesh,Vijayawada,Locality_204,Apartment,2.0,4791.0,35.01,0.01,2003.0,Unfurnished,12.0,27.0,22.0,3.0,1.0,Low,Yes,Yes,Clubhouse,North,Owner,Ready_to_Move
164642,Telangana,Warangal,Locality_139,Apartment,3.0,1597.0,88.65,0.06,1995.0,Semi-furnished,26.0,2.0,30.0,5.0,9.0,High,No,No,"Clubhouse, Garden, Pool, Gym, Playground",West,Builder,Under_Construction
59370,West Bengal,Kolkata,Locality_353,Independent House,1.0,2405.0,183.97,0.08,2011.0,Furnished,25.0,7.0,14.0,8.0,10.0,Medium,Yes,Yes,"Playground, Clubhouse, Gym, Garden, Pool",North,Owner,Ready_to_Move
21283,Assam,Silchar,Locality_363,Independent House,1.0,4545.0,189.35,0.04,1992.0,Semi-furnished,19.0,14.0,33.0,10.0,9.0,Low,No,No,Gym,North,Builder,Under_Construction
137594,Uttarakhand,Dehradun,Locality_271,Independent House,5.0,688.0,426.15,0.62,2019.0,Furnished,2.0,7.0,6.0,1.0,2.0,High,Yes,Yes,"Playground, Pool, Garden",South,Owner,Ready_to_Move
229697,Karnataka,Bangalore,Locality_328,Villa,3.0,3087.0,212.36,0.07,2006.0,Unfurnished,18.0,11.0,19.0,7.0,6.0,High,No,Yes,"Clubhouse, Pool, Garden, Gym",East,Broker,Ready_to_Move
75874,Maharashtra,Mumbai,Locality_34,Apartment,3.0,1034.0,15.51,0.01,2008.0,Semi-furnished,14.0,19.0,17.0,7.0,10.0,Low,Yes,Yes,"Pool, Gym, Garden, Clubhouse, Playground",West,Owner,Under_Construction
62049,Bihar,Gaya,Locality_355,Villa,3.0,2047.0,391.91,0.19,2013.0,Semi-furnished,28.0,3.0,12.0,1.0,9.0,Medium,No,No,"Playground, Clubhouse, Garden",South,Owner,Under_Construction
173148,West Bengal,Kolkata,Locality_495,Villa,4.0,556.0,251.07,0.45,2005.0,Furnished,20.0,21.0,20.0,8.0,4.0,High,Yes,No,"Pool, Playground, Gym, Garden, Clubhouse",South,Builder,Under_Construction
75126,Maharashtra,Nagpur,Locality_350,Villa,3.0,1996.0,497.35,0.25,2012.0,Semi-furnished,17.0,10.0,13.0,3.0,2.0,Low,Yes,Yes,"Pool, Playground, Garden, Gym, Clubhouse",North,Broker,Ready_to_Move
185828,Telangana,Warangal,Locality_348,Apartment,1.0,3767.0,107.99,0.03,1990.0,Unfurnished,19.0,4.0,35.0,8.0,7.0,High,No,No,"Pool, Playground",North,Owner,Ready_to_Move
157279,Haryana,Faridabad,Locality_119,Villa,1.0,1154.0,323.04,0.28,2002.0,Semi-furnished,30.0,27.0,23.0,5.0,1.0,High,Yes,No,"Clubhouse, Gym",South,Broker,Ready_to_Move
11028,Odisha,Cuttack,Locality_402,Independent House,5.0,2800.0,183.67,0.07,2017.0,Semi-furnished,1.0,16.0,8.0,5.0,5.0,High,No,No,Pool,South,Broker,Ready_to_Move
212823,Odisha,Cuttack,Locality_494,Apartment,3.0,1758.0,370.97,0.21,2005.0,Furnished,26.0,27.0,20.0,10.0,3.0,Low,Yes,No,"Playground, Pool, Garden, Gym, Clubhouse",East,Broker,Ready_to_Move
67635,Gujarat,Ahmedabad,Locality_73,Villa,5.0,1427.0,366.49,0.26,2008.0,Semi-furnished,8.0,18.0,17.0,9.0,8.0,Low,Yes,Yes,"Pool, Garden, Clubhouse, Playground",North,Builder,Ready_to_Move
21291,Jharkhand,Jamshedpur,Locality_270,Villa,1.0,2689.0,78.69,0.03,2016.0,Furnished,11.0,22.0,9.0,6.0,6.0,Medium,Yes,No,"Clubhouse, Playground, Pool",North,Builder,Under_Construction
164368,Kerala,Trivandrum,Locality_254,Apartment,1.0,4127.0,113.82,0.03,2001.0,Semi-furnished,1.0,28.0,24.0,7.0,5.0,Low,Yes,No,"Pool, Clubhouse, Playground, Gym, Garden",South,Broker,Ready_to_Move
129493,Punjab,Ludhiana,Locality_296,Apartment,5.0,2794.0,393.53,0.14,2001.0,Semi-furnished,4.0,24.0,24.0,7.0,5.0,High,No,No,"Playground, Pool, Clubhouse, Garden, Gym",East,Builder,Under_Construction
92119,Uttarakhand,Haridwar,Locality_199,Apartment,5.0,2236.0,343.2,0.15,2021.0,Furnished,27.0,4.0,4.0,4.0,2.0,Low,Yes,No,"Garden, Gym, Playground, Clubhouse, Pool",South,Builder,Ready_to_Move
113158,Madhya Pradesh,Bhopal,Locality_384,Independent House,4.0,2045.0,78.58,0.04,2015.0,Furnished,19.0,15.0,10.0,5.0,2.0,Low,Yes,Yes,"Clubhouse, Pool",South,Broker,Ready_to_Move
17497,Haryana,Faridabad,Locality_28,Villa,5.0,1612.0,173.28,0.11,2015.0,Furnished,5.0,20.0,10.0,1.0,10.0,High,Yes,No,"Gym, Playground, Clubhouse, Garden, Pool",North,Owner,Ready_to_Move
80256,Uttar Pradesh,Lucknow,Locality_125,Villa,4.0,2488.0,417.68,0.17,1998.0,Unfurnished,13.0,24.0,27.0,2.0,1.0,Medium,No,Yes,"Clubhouse, Pool, Garden, Gym",East,Builder,Ready_to_Move
65545,Uttar Pradesh,Lucknow,Locality_208,Villa,5.0,4636.0,422.28,0.09,2011.0,Semi-furnished,4.0,24.0,14.0,9.0,1.0,High,No,Yes,"Garden, Pool, Playground",North,Owner,Under_Construction
